slug,title,category,tags,summary,highlight,item_rows,article_title,article_lead,exam_points,common_mistakes,memory_tip,related_terms,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer
stress-check-kigen,ストレスチェックの実施期限・対象人数,職場環境・配慮,ストレスチェック;数値;労安衛,ストレスチェック制度の対象事業場規模・実施頻度等の代表数値を早見表に整理します（最新は公式要領で確認）。,常時50人以上 / 1年に1回程度,"[{""item"": ""対象事業場（人数基準）"", ""value"": ""常時50人以上を雇用する事業場"", ""note"": ""労働安全衛生規則第22条の2。49人以下の取扱いは規則・要領で確認""}, {""item"": ""実施頻度"", ""value"": ""1年に1回程度"", ""note"": ""事業場の状況に応じて実施。電子化等の方法はガイドライン参照""}, {""item"": ""実施時期（新たに50人に達した場合）"", ""value"": ""一定期間内に実施（要領で確認）"", ""note"": ""人数に達してからの初回実施期限は省令・要領・通知で確認。年度で改正あり""}, {""item"": ""実施方法"", ""value"": ""紙または電子の方法"", ""note"": ""医師・保健師等が実施。実施者・手順は規則・ガイドライン参照""}, {""item"": ""結果の活用"", ""value"": ""事業場全体の分析・改善"", ""note"": ""個人の健康診断結果の評価等とは目的が異なる。混同しない""}]",ストレスチェックの実施期限・対象人数｜数値早見表,ストレスチェックは、常時50人以上の事業場等を対象に、1年に1回程度実施する制度です。人数基準・初回期限・方法は改正があり得るため、必ず労働安全衛生規則と厚生労働省の最新資料で確認してください。,50人基準は頻出;1年1回程度;医師・保健師等が実施;数値は条文・要領とセットで暗記し、直前は公式で再確認,50人未満で一切不要、または健診と同一、とする肢に注意。初回実施期限を「即日」等と覚え違えるケースもあります。,「50人・年1回・事業場単位・労安則22条の2」とセットで覚えてください。,ストレスチェック;ストレスチェック実施者;労働者の健康管理,ストレスチェックの人数基準は？,労働安全衛生規則上、常時50人以上を雇用する事業場が対象です。49人以下の事業場の取扱いや、50人に達した際の初回実施期限は、最新の規則・要領・ガイドラインで確認してください。50人基準は頻出。1年1回程度。,何年に1回実施？,原則として1年に1回程度実施します。事業場の状況に応じた実施が求められます。試験では「1年に1回程度」の表現と、近い数字の選択肢の区別に注意してください。50人基準は頻出。1年1回程度。医師・保健師等が実施。,誰が実施する？,医師・保健師等が実施します（規則・ガイドライン参照）。長時間労働者への面接指導（医師の面接）とは制度が異なります。比較表もあわせて確認してください。50人基準は頻出。1年1回程度。数値は条文・要領とセットで暗記し、直前は公式で再確認。,最新数値はどこで？,労働安全衛生規則、厚生労働省のストレスチェック関連ページ、日本産業衛生協会の試験学習範囲・要項を一次情報として確認してください。50人基準は頻出。1年1回程度。医師・保健師等が実施。数値は条文・要領とセットで暗記し、直前は公式で再確認。
choujikan-mensetsu,長時間労働者への面接指導（時間・人数）,職場環境・配慮,面接指導;長時間労働;労基法,時間外・休日労働が一定基準を超えた労働者への医師面接の要件を早見表に整理します。,月100時間超 / 2〜6か月平均80時間超 等,"[{""item"": ""面接指導の対象（月間）"", ""value"": ""時間外＋休日労働が100時間を超えた場合"", ""note"": ""労基法66条の8・施行規則。近い数字の選択肢に注意""}, {""item"": ""面接指導の対象（複数月平均）"", ""value"": ""2〜6か月平均で80時間超かつ上限超過"", ""note"": ""36協定の上限との関係。条文・通知で確認""}, {""item"": ""実施者"", ""value"": ""医師"", ""note"": ""産業医等。保健師のみで実施、等の誤肢に注意""}, {""item"": ""事業者の義務"", ""value"": ""面接の機会確保・就業上の措置等"", ""note"": ""医師の指示に基づく時間短縮・休養等を検討""}, {""item"": ""ストレスチェックとの違い"", ""value"": ""個人の長時間労働が要件"", ""note"": ""事業場50人のストレス調査とは別制度。比較表参照""}]",長時間労働者への面接指導（時間・人数）｜数値早見表,面接指導は、時間外・休日労働が法令上の基準を超えた労働者について医師が面接する制度です。100時間・80時間等の数値は頻出のため、条件とセットで覚え、最新の労基法関係通知で確認してください。,100時間（月）・80時間（平均）の組み合わせが定番;実施者は医師;ストレスチェックと混同しない,ストレスチェックの50人基準と混同したり、面接指導を保健師のみで実施できるとする肢を選びがちです。,「100＝単月アラート」「80＝平均アラート」と覚え、医師面接とセットにしてください。,面接指導;長時間労働;長時間労働者に対する面接指導,面接指導の数値基準は？,月間の時間外・休日労働100時間超、または2〜6か月平均80時間超かつ36協定上限超過等が代表要件です。詳細は労働基準法・施行規則と最新通知で必ず確認してください。100時間（月）・80時間（平均）の組み合わせが定番。,誰が実施しますか？,医師が面接します。事業者は面接の機会を確保し、必要な就業上の措置を行います。実施者を保健師のみに置き換える誤肢に注意してください。100時間（月）・80時間（平均）の組み合わせが定番。実施者は医師。ストレスチェックと混同しない。,試験対策のコツは？,数値だけでなく「誰が・いつ・何のために」をセットで覚えます。比較表「ストレスチェックと面接指導の違い」とあわせて復習してください。100時間（月）・80時間（平均）の組み合わせが定番。実施者は医師。ストレスチェックと混同しない。,最新情報は？,厚生労働省の労働基準関係資料、労働基準法施行規則を一次情報として確認してください。100時間（月）・80時間（平均）の組み合わせが定番。実施者は医師。ストレスチェックと混同しない。「100＝単月アラート」「80＝平均アラート」と覚え、医師面接とセットにしてください。
kanrishoku-kenshu,管理監督者への教育研修時間,基礎・役割,管理監督者;教育研修;メンタルヘルス,管理監督者に対するメンタルヘルス関連の教育・情報提供について、試験で押さえるポイントを整理します。,計画的実施 / ストレスチェック結果の周知,"[{""item"": ""教育・情報提供の位置づけ"", ""value"": ""事業者が計画的に実施"", ""note"": ""心の健康保持増進指針等。漫然と実施でよい、は誤りになりやすい""}, {""item"": ""ストレスチェック結果の周知"", ""value"": ""分析結果を労働者に周知"", ""note"": ""個人結果の取扱いと区別。規則・ガイドライン参照""}, {""item"": ""個人結果の通知"", ""value"": ""集団分析等の後、一定期間内"", ""note"": ""労安則上は集計終了から1か月以内に通知（代表値）。要領で確認""}, {""item"": ""内容の例"", ""value"": ""サインの見方・相談体制・ラインケア"", ""note"": ""管理監督者の役割とセットで出題""}, {""item"": ""記録"", ""value"": ""実施状況の記録・保存"", ""note"": ""実施した形式・内容を記録。未実施でもよい、は誤り""}]",管理監督者への教育研修時間｜数値早見表,管理監督者への教育研修は、メンタルヘルス不調の早期発見と適切な対応のため事業者が計画的に行います。時間数だけでなく、ストレスチェック結果の周知期限等もセットで確認してください。,計画的実施がキーワード;ストレスチェック結果の1か月通知と混同しない;ラインケアとセット,教育研修が任意でよい、またはストレスチェックと同一の制度とする誤答が出やすいです。,「計画・周知・記録」を管理監督者の三本柱として覚えてください。,管理監督者への教育研修・情報提供;ラインケア;ストレスチェック,管理監督者への教育は必須？,事業者は管理監督者に対し、メンタルヘルス不調のサイン等について計画的に教育・情報提供を行う必要があります。詳細はガイドライン・規則で確認してください。計画的実施がキーワード。ストレスチェック結果の1か月通知と混同しない。,1か月の意味は？,ストレスチェックの集団分析等終了後、結果を労働者に通知する期限（代表値）として問われることがあります。個人結果の取扱いと混同しないでください。計画的実施がキーワード。ストレスチェック結果の1か月通知と混同しない。,試験では何とセット？,ラインケア、相談体制、ハラスメント防止とセットで出題されやすいです。関連比較表・用語解説も確認してください。計画的実施がキーワード。ストレスチェック結果の1か月通知と混同しない。ラインケアとセット。「計画・周知・記録」を管理監督者の三本柱として覚えてください。,一次情報はどこで確認しますか？,労働者の心の健康の保持増進のための指針、労働安全衛生規則、厚生労働省資料を参照してください。計画的実施がキーワード。ストレスチェック結果の1か月通知と混同しない。ラインケアとセット。「計画・周知・記録」を管理監督者の三本柱として覚えてください。
kyushoku-kikan,休職・復職に関する期間の目安,相談・連携・復職,休職;復職;段階的復職,休業期間と段階的復職・職場復帰支援における期間の考え方を整理します（個別事情により異なります）。,個別判断 / 段階的復職,"[{""item"": ""休職期間"", ""value"": ""主治医の意見等に基づき個別判断"", ""note"": ""固定日数で一律、は誤りになりやすい""}, {""item"": ""段階的復職"", ""value"": ""短時間・軽作業から段階的に拡大"", ""note"": ""復職支援プランの具体策。期間は個別""}, {""item"": ""情報の取扱い"", ""value"": ""必要最小限・プライバシー配慮"", ""note"": ""休職中も診断名の不必要な開示は避ける""}, {""item"": ""産業医面談"", ""value"": ""復職可否判断の参考"", ""note"": ""主治医意見と併せて職場復帰を調整""}, {""item"": ""定着支援"", ""value"": ""復職後もフォロー"", ""note"": ""復職＝終了ではない。再発防止が重要""}]",休職・復職に関する期間の目安｜数値早見表,休職・復職に「全国一律の日数」があるわけではなく、医学的見地と職場条件で個別に判断します。試験では固定日数を問う引っかけと、段階的復職の考え方が対比されます。休業期間と段階的復職・職場復帰支援における期間の考え方を整理します（個別事情により異なります）。試験で押さえるべき点は、一律○日は誤りになりやすい、段階的復職は時間・業務を段階拡大、情報管理とセット。早見の要点は「個別判断 / 段階的復職」です。,一律○日は誤りになりやすい;段階的復職は時間・業務を段階拡大;情報管理とセット,休職は必ず○か月、復職後は即フル稼働、等の固定イメージで答えると誤りです。,「日数暗記より個別プラン」と意識し、段階的復職を具体策として覚えてください。,休職;復職;段階的復職,休職期間に決まりはある？,一律の法定日数ではなく、主治医の意見等に基づき個別に判断します。固定日数を選ぶ肢は引っかけになりやすいです。一律○日は誤りになりやすい。段階的復職は時間・業務を段階拡大。情報管理とセット。「日数暗記より個別プラン」と意識し、段階的復職を具体策として覚えてください。,段階的復職とは？,労働時間や業務内容を段階的に増やし、安全な職場復帰を図る方法です。復職支援プランの中核です。一律○日は誤りになりやすい。段階的復職は時間・業務を段階拡大。情報管理とセット。「日数暗記より個別プラン」と意識し、段階的復職を具体策として覚えてください。,試験の引っかけは？,休職勧奨と復職支援の混同、診断名の開示、復職後フォロー不要、等です。誤答パターン記事も参照してください。一律○日は誤りになりやすい。段階的復職は時間・業務を段階拡大。情報管理とセット。「日数暗記より個別プラン」と意識し、段階的復職を具体策として覚えてください。,参照文献は？,職場におけるメンタルヘルス対策ガイドライン、職場復帰支援の手引き等を参照してください。一律○日は誤りになりやすい。段階的復職は時間・業務を段階拡大。情報管理とセット。「日数暗記より個別プラン」と意識し、段階的復職を具体策として覚えてください。
shiken-goukaku,試験の合格点・科目配点（II種）,基礎・役割,合格基準;配点;試験要項,メンタルヘルス・マネジメント検定II種（ラインケアコース）の配点と合格基準を整理します（2026年度公式情報）。,100点満点 / 70点以上で合格,"[{""item"": ""問題形式"", ""value"": ""選択問題のみ"", ""note"": ""Ⅰ種は論述50点追加あり。コース混同に注意""}, {""item"": ""配点"", ""value"": ""100点満点"", ""note"": ""公式「試験のご紹介」参照""}, {""item"": ""合格基準"", ""value"": ""70点以上"", ""note"": ""2026年度時点の公式情報。年度で変更あり得る""}, {""item"": ""試験時間"", ""value"": ""2時間（選択問題）"", ""note"": ""集合時刻10:00（公開試験・II種）""}, {""item"": ""出題基準"", ""value"": ""公式テキスト第6版（2026年11月以降）"", ""note"": ""施行日・版数は要項で毎回確認""}]",試験の合格点・科目配点（II種）｜数値早見表,II種（ラインケアコース）は選択問題100点満点で、70点以上が合格基準です（2026年度公式）。Ⅰ種の105点・論述25点等と混同しないよう、受験コースごとに確認してください。,II種＝100点・70点合格;Ⅰ種は105点＋論述25点以上;コース混同が最大の引っかけ,Ⅰ種の合格基準（105点・論述25点）をII種に適用する、または60点合格と覚える誤りがあります。,「II種＝100点中70点」とコース名とセットで暗記してください。,メンタルヘルスケアの体制づくり;管理監督者への教育研修・情報提供;メンタルヘルス不調の定義,II種の合格点は？,選択問題100点満点のうち70点以上が合格基準です（2026年度公式「試験のご紹介」）。最新の試験要項で必ず確認してください。II種＝100点・70点合格。Ⅰ種は105点＋論述25点以上。コース混同が最大の引っかけ。,Ⅰ種との違いは？,Ⅰ種は選択100点＋論述50点で、合計105点以上かつ論述25点以上が合格基準です。II種・Ⅲ種とは異なります。II種＝100点・70点合格。Ⅰ種は105点＋論述25点以上。コース混同が最大の引っかけ。,試験時間は？,II種は選択問題2時間です。集合時刻等は受験要項の日程表で確認してください。 用語解説・比較表・数値早見表とあわせて復習すると定着しやすくなります。II種＝100点・70点合格。Ⅰ種は105点＋論述25点以上。,公式情報は？,https://www.mental-health.ne.jp/about/ および受験要項ページが一次情報です。II種＝100点・70点合格。Ⅰ種は105点＋論述25点以上。コース混同が最大の引っかけ。
juken-shikaku,受験資格・実務経験の年数（II種）,基礎・役割,受験資格;試験要項,メンタルヘルス・マネジメント検定II種の受験資格要件を整理します。,学歴・年齢・実務年数の制限なし,"[{""item"": ""学歴"", ""value"": ""制限なし"", ""note"": ""公式受験要項""}, {""item"": ""年齢・性別・国籍"", ""value"": ""制限なし"", ""note"": ""誰でも受験可能""}, {""item"": ""実務経験"", ""value"": ""年数要件なし"", ""note"": ""「○年以上の実務が必要」は誤りになりやすい""}, {""item"": ""コース選択"", ""value"": ""希望コースを選択可"", ""note"": ""同日に複数コース受験も可能（日程による）""}, {""item"": ""確認先"", ""value"": ""公開試験 受験要項"", ""note"": ""年度更新を必ず確認""}]",受験資格・実務経験の年数（II種）｜数値早見表,II種は学歴・年齢・性別・国籍・実務経験年数に制限がなく、希望者が受験できます。他資格の「実務○年」要件と混同しないでください。メンタルヘルス・マネジメント検定II種の受験資格要件を整理します。試験で押さえるべき点は、実務年数不要が定番正答、学歴制限なし、要項は年度更新。早見の要点は「学歴・年齢・実務年数の制限なし」です。,実務年数不要が定番正答;学歴制限なし;要項は年度更新,管理職○年、人事実務○年等の要件があると思い込む誤答が出やすいです。,「II種＝門戸開放（資格制限なし）」と覚え、要項で最新確認。,メンタルヘルスケアの体制づくり;管理監督者への教育研修・情報提供;人事労務管理スタッフ,実務経験は必要？,公開試験のII種に実務経験年数の要件はありません（2026年度受験要項）。他資格の要件と混同しないでください。実務年数不要が定番正答。学歴制限なし。要項は年度更新。「II種＝門戸開放（資格制限なし）」と覚え、要項で最新確認。,管理職でないと受験できない？,II種は管理監督者向けコースですが、受験資格として管理職歴の年数要件は設けられていません。詳細は要項で確認してください。実務年数不要が定番正答。学歴制限なし。要項は年度更新。「II種＝門戸開放（資格制限なし）」と覚え、要項で最新確認。,Ⅰ種との違いは？,いずれのコースも学歴・年齢等の制限はありません。コースごとの到達目標・出題範囲が異なります。実務年数不要が定番正答。学歴制限なし。要項は年度更新。「II種＝門戸開放（資格制限なし）」と覚え、要項で最新確認。,最新情報の確認先はどこですか？,https://www.mental-health.ne.jp/guide/ の受験資格欄が一次情報です。実務年数不要が定番正答。学歴制限なし。要項は年度更新。「II種＝門戸開放（資格制限なし）」と覚え、要項で最新確認。
harassment-taisaku,ハラスメント防止措置の期限,職場環境・配慮,ハラスメント;防止措置;相談体制,パワーハラスメント等の防止措置・相談体制整備に関する代表的な期限・人数基準を整理します。,事業者の措置義務 / 相談体制,"[{""item"": ""パワハラ防止法"", ""value"": ""事業者は防止措置を講じる"", ""note"": ""方針の周知・相談体制等。施行期日は法令で確認""}, {""item"": ""相談体制"", ""value"": ""相談窓口の設置・周知"", ""note"": ""ハラスメント相談の受付体制。人数基準は別論点""}, {""item"": ""迅速な調査"", ""value"": ""相談受理後は遅滞なく調査"", ""note"": ""「放置してよい」は誤り""}, {""item"": ""再発防止"", ""value"": ""再発防止措置の実施"", ""note"": ""対応完了で終わり、は誤りになりやすい""}, {""item"": ""ストレスチェックとの関係"", ""value"": ""別制度"", ""note"": ""50人基準のストレス調査と混同しない""}]",ハラスメント防止措置の期限｜数値早見表,ハラスメント防止は事業者の継続的義務であり、相談受理後の調査・再発防止まで含めて問われます。特定の「○日以内」数字より、義務の流れを理解してください。パワーハラスメント等の防止措置・相談体制整備に関する代表的な期限・人数基準を整理します。試験で押さえるべき点は、防止措置・相談体制は事業者義務、相談後の調査・再発防止、パワハラとセクハラの類型区別。早見の要点は「事業者の措置義務 / 相談体制」です。,防止措置・相談体制は事業者義務;相談後の調査・再発防止;パワハラとセクハラの類型区別,ハラスメント対応は相談窓口設置だけで足りる、またはストレスチェックで代替できる、等の誤答があります。,「周知→相談→調査→再発防止」の流れで覚えてください。,ハラスメント相談;パワーハラスメント;セクシュアルハラスメント,防止措置の核心は？,方針の周知、相談体制の整備、相談受理後の調査、再発防止措置等です。詳細はパワーハラスメント防止法とガイドラインで確認してください。防止措置・相談体制は事業者義務。相談後の調査・再発防止。パワハラとセクハラの類型区別。,数値期限はある？,試験では具体的日数より、義務の内容と順序が問われやすいです。数字問題は最新の法令・通知で確認してください。防止措置・相談体制は事業者義務。相談後の調査・再発防止。パワハラとセクハラの類型区別。「周知→相談→調査→再発防止」の流れで覚えてください。,管理監督者の役割は？,早期発見、相談窓口の周知、再発防止に関わる職場環境改善です。比較表・誤答パターンも参照してください。防止措置・相談体制は事業者義務。相談後の調査・再発防止。パワハラとセクハラの類型区別。「周知→相談→調査→再発防止」の流れで覚えてください。,一次情報はどこで確認しますか？,パワーハラスメント防止法、厚生労働省ガイドラインを参照してください。 用語解説・比較表・数値早見表とあわせて復習すると定着しやすくなります。防止措置・相談体制は事業者義務。相談後の調査・再発防止。パワハラとセクハラの類型区別。
kenshin-metabo,健康診断・メタボリックシンドローム関連数値,職場環境・配慮,健康診断;メタボ;数値,定期健康診断と特定保健指導の代表数値（腹囲・脂質等）を整理します。メンタルヘルス試験の関連論点として押さえます。,腹囲 85cm / 90cm（目安）,"[{""item"": ""定期健康診断"", ""value"": ""事業者が1年に1回実施"", ""note"": ""労安法上の健康診断。ストレスチェックとは別""}, {""item"": ""腹囲（男性・目安）"", ""value"": ""85cm以上で基準該当（代表値）"", ""note"": ""特定保健指導の基準。年度・基準値は通知で確認""}, {""item"": ""腹囲（女性・目安）"", ""value"": ""90cm以上で基準該当（代表値）"", ""note"": ""男女で基準が異なる点が引っかけ""}, {""item"": ""特定保健指導"", ""value"": ""保険者による保健指導"", ""note"": ""事業者のストレスチェックとは目的が異なる""}, {""item"": ""産業医・保健師"", ""value"": ""健診結果の評価・就業上措置"", ""note"": ""数値結果に基づく健康管理。比較表参照""}]",健康診断・メタボリックシンドローム関連数値｜数値早見表,健康診断は労働者の疾病予防のための制度で、腹囲85/90cm等は特定保健指導の代表基準です。ストレスチェックや面接指導と制度目的が異なるため混同しないでください。,健診＝1年1回;腹囲85/90の男女差;ストレスチェックと別制度,ストレスチェックの50人基準を健診に適用する、腹囲の男女基準を逆に覚える、等の誤答があります。,「健診＝体の数値」「ストレスチェック＝心理負担」と目的で分けてください。,産業医;保健師;労働者の健康管理,腹囲85cmの意味は？,特定保健指導等におけるメタボリックシンドローム関連の代表基準値（男性85cm等）として試験に関連します。最新の基準値は通知で確認してください。健診＝1年1回。腹囲85/90の男女差。ストレスチェックと別制度。,健診とストレスチェックの違いは？,健康診断は疾病予防・健康管理、ストレスチェックは心理的負担の把握が目的です。別制度として整理してください。健診＝1年1回。腹囲85/90の男女差。ストレスチェックと別制度。「健診＝体の数値」「ストレスチェック＝心理負担」と目的で分けてください。,試験対策でどう使いますか？,数値と条件（男女・年齢）をセットで覚え、誤答パターン「ストレスチェックと健康診断の取り違え」を読んでください。健診＝1年1回。腹囲85/90の男女差。ストレスチェックと別制度。「健診＝体の数値」「ストレスチェック＝心理負担」と目的で分けてください。,一次情報はどこで確認しますか？,労働安全衛生規則（健康診断）、特定保健指導の基準通知等を参照してください。 用語解説・比較表・数値早見表とあわせて復習すると定着しやすくなります。健診＝1年1回。腹囲85/90の男女差。ストレスチェックと別制度。
sodan-taisei,相談体制整備の人数基準,相談・連携・復職,相談体制;ハラスメント;ストレスチェック,ハラスメント相談・メンタルヘルス相談体制に関する人数・規模の代表基準を整理します。,事業場規模 / 相談窓口,"[{""item"": ""ハラスメント相談"", ""value"": ""事業者は相談体制を整備"", ""note"": ""人数基準より体制の内容が問われやすい""}, {""item"": ""ストレスチェック"", ""value"": ""常時50人以上"", ""note"": ""事業場単位。相談体制とは別の50人基準""}, {""item"": ""相談窓口"", ""value"": ""内部・外部の窓口設置"", ""note"": ""複数窓口・外部機関利用も可（要件はガイドライン）""}, {""item"": ""記録・保密"", ""value"": ""相談内容の適切管理"", ""note"": ""漏えいしてよい、は誤り""}, {""item"": ""管理監督者"", ""value"": ""相談先の周知"", ""note"": ""ラインケアと連携""}]",相談体制整備の人数基準｜数値早見表,相談体制は事業者が整備する義務です。50人基準は主にストレスチェックの対象事業場に関する数値であり、ハラスメント相談と同一条件ではありません。ハラスメント相談・メンタルヘルス相談体制に関する人数・規模の代表基準を整理します。試験で押さえるべき点は、50人＝ストレスチェックの代表値、相談体制は内容・周知・保密、ハラスメント相談は別論点。早見の要点は「事業場規模 / 相談窓口」です。,50人＝ストレスチェックの代表値;相談体制は内容・周知・保密;ハラスメント相談は別論点,すべての相談制度が50人から、と覚える誤り。相談体制＝設置だけで十分、も誤りです。,「50人＝ストレスチェック専用」とラベル付けして混同を防いでください。,ハラスメント相談;ストレスチェック;産業カウンセラー,50人基準は何の話？,主にストレスチェック制度の対象事業場（常時50人以上）に関する数値です。ハラスメント相談の開始人数と同一とは限りません。50人＝ストレスチェックの代表値。相談体制は内容・周知・保密。ハラスメント相談は別論点。,相談体制で重要なことは？,相談窓口の設置・周知、相談受理後の対応、保密、再発防止です。人数だけ覚えないでください。50人＝ストレスチェックの代表値。相談体制は内容・周知・保密。ハラスメント相談は別論点。「50人＝ストレスチェック専用」とラベル付けして混同を防いでください。,産業カウンセラーの位置づけは？,相談・支援の専門家として連携する資源です。関連用語解説と誤答パターンを参照してください。50人＝ストレスチェックの代表値。相談体制は内容・周知・保密。ハラスメント相談は別論点。「50人＝ストレスチェック専用」とラベル付けして混同を防いでください。,一次情報はどこで確認しますか？,心の健康保持増進指針、パワハラ防止法ガイドライン、労安則を参照してください。 用語解説・比較表・数値早見表とあわせて復習すると定着しやすくなります。50人＝ストレスチェックの代表値。相談体制は内容・周知・保密。
shiken-nittei-2026,試験日程・申込期限（2026年度）,基礎・役割,試験日程;申込;試験要項,2026年度公開試験（第41回・第42回）の代表日程を早見表に整理します。,年2回 / 申込期間は要項参照,"[{""item"": ""第41回 試験日"", ""value"": ""2026年11月1日（日）"", ""note"": ""Ⅰ種・Ⅱ種・Ⅲ種実施""}, {""item"": ""第41回 一般申込"", ""value"": ""9月4日〜9月17日"", ""note"": ""2026年度受験要項。コンビニ決済期限はより早い""}, {""item"": ""第42回 試験日"", ""value"": ""2027年3月21日（日）"", ""note"": ""Ⅱ種・Ⅲ種のみ""}, {""item"": ""第42回 一般申込"", ""value"": ""2027年1月22日〜2月4日"", ""note"": ""年度更新で変更あり""}, {""item"": ""II種 試験時間"", ""value"": ""2時間（10:00集合）"", ""note"": ""受験票・要項で最終確認""}]",試験日程・申込期限（2026年度）｜数値早見表,公開試験は年2回実施されます。2026年度第41回は11月1日、申込は9月上旬〜中旬です。日程・申込期限は年度ごとに変わるため、必ず最新の受験要項で確認してください。,年2回・15都市;申込期間は短い;II種は11月または3月;要項が一次情報,申込期限を試験直前まで続くと思う、または第42回でⅠ種が受験できるとする誤りがあります。,「要項カレンダーを先に見る」習慣をつけ、数字は年度表として更新してください。,メンタルヘルスケアの体制づくり;管理監督者への教育研修・情報提供;メンタルヘルス不調の定義,2026年度第41回の試験日は？,2026年11月1日（日）です（2026年度受験要項）。Ⅱ種は10:00集合、2時間の選択問題です。年2回・15都市。申込期間は短い。II種は11月または3月。要項が一次情報。「要項カレンダーを先に見る」習慣をつけ、数字は年度表として更新してください。,申込はいつまで？,第41回一般受付は2026年9月4日〜17日です。コンビニ決済の期限はより早く終了します。最新要項で確認してください。年2回・15都市。申込期間は短い。II種は11月または3月。要項が一次情報。「要項カレンダーを先に見る」習慣をつけ、数字は年度表として更新してください。,年に何回ですか？,公開試験は年2回（第41回・第42回）です。第42回はⅡ種・Ⅲ種のみとなります。年2回・15都市。申込期間は短い。II種は11月または3月。要項が一次情報。「要項カレンダーを先に見る」習慣をつけ、数字は年度表として更新してください。,公式情報は？,https://www.mental-health.ne.jp/guide/ が一次情報です。本表も年度更新時に要確認です。年2回・15都市。申込期間は短い。II種は11月または3月。要項が一次情報。
